1PL (-ām)	1PL suffix (-<i>ām</i>)
1PL (=ām)	1PL clitic (=<i>ām</i>)
1SG (-um)	1SG suffix (-<i>um</i>)
1SG (=um)	1SG clitic (=<i>um</i>)
2PL (-et)	2PL suffix (-<i>et</i>)
2PL (=et)	2PL clitic (=<i>et</i>)
2SG (-i)	2SG suffix (-<i>i</i>)
2SG (=at)	2SG clitic (=<i>at</i>)
3PL (-en)	3PL suffix (-<i>en</i>)
3PL (=en)	3PL clitic (=<i>en</i>)
3SG (-t/-d)	3SG suffix (-<i>t</i> / -<i>d</i>)
3SG (=i)	3SG clitic (=<i>i</i>)
Adjectival Participle	Adjectival Participle (-<i>in</i>)
Agentive participle	Agentive participle (-<i>īǰ</i>)
Agreement clitics	Agreement clitics
Agreement suffixes	Agreement suffixes
Conjunctions	Conjunctions
D1.F.SG.O	D1.F.SG.O
D1.LOC	D1.LOC
D1.M.SG.O	D1.M.SG.O
D1.PL	D1.PL
D1.PL.O	D1.PL.O
D1.SG	D1.SG
D2.F.SG.O	D2.F.SG.O
D2.LOC	D2.LOC
D2.M.SG.O	D2.M.SG.O
D2.PL	D2.PL
D2.PL.O	D2.PL.O
D2.SG	D2.SG
D3.F.SG	D3.F.SG
D3.F.SG.O	D3.F.SG.O
D3.LOC	D3.LOC
D3.M.SG	D3.M.SG
D3.M.SG.O	D3.M.SG.O
D3.PL	D3.PL
D3.PL.O	D3.PL.O
Demonstratives	Demonstratives
English	English
Imperative	Imperative
Irrealis negation	Irrealis negation
Locative demonstratives	Locative demonstratives
Long Infinitive (Purposive)	Long Infinitive (-<i>ow</i>)
Nominal affixes	Nominal affixes
Nominal suffixes	Nominal suffixes
Nominalizations	Nominalizations
Other particles	Other particles
Other pronominals	Other pronominals
PRON.1PL	‘we’ (<i>māš</i>)
PRON.1SG	‘I’, dir. (<i>wuz</i>)
PRON.1SG.O	‘I’, obl. (<i>mu</i>)
PRON.2PL	‘you’, pl. (<i>tama</i>)
PRON.2SG	‘you’, sg. (<i>tu</i>)
Parts of speech	Parts of speech
Perfect	Perfect
Personal pronouns	Personal pronouns
Pluperfect	Pluperfect (-<i>at</i> / -<i>it</i>)
Postpositions	Postpositions
Prepositions	Prepositions
Present	Present
Preterite	Preterite
Prospective	Prospective
Realis negation	Realis negation
Russian	Russian
Short Infinitive	Short Infinitive
Tajik	Tajik
Tense	Tense
Verbal Participle	Verbal Participle (-<i>ak</i>)
Verbal affixes	Verbal affixes
abstract nominal	abstract nominal (-<i>i</i>)
additive (ga)	additive (=<i>ga</i>)
additive (mis)	additive (<i>mis</i>)
address	address particle (<i>aro</i>)
adjectivizer	adjectivizer (-<i>i</i>)
adverbializer	adverbializer (-<i>aθ</i>)
agreement clitic	agreement clitic
all	‘all’ (<i>fuk</i>)
allative	allative (<i>ba</i>)
apudessive	apudessive ‘near’ (<i>xez</i>)
at_all	‘at all’ (<i>ač</i>)
caritive	caritive ‘without’ (<i>be</i>)
cause	cause (<i>aven</i> / <i>ǰāt</i>)
comitative	comitative ‘with’ (<i>qati</i>)
comparative	comparative (-<i>di</i>)
complementizing conjunction (idi)	complementizing conjunction (<i>idi</i>)
conjunction	conjunction
conjunction ‘or’	conjunction ‘or’ (<i>yo</i>)
contact locative (mi-)	contact locative (<i>mi</i>-)
contact locative (či-)	contact locative (<i>či</i>-)
coordinating conjunction (at)	coordinating conjunction (<i>at</i>)
coordinating conjunction (atā)	coordinating conjunction (<i>atā</i>)
coordinating conjunction (u)	coordinating conjunction (<i>u</i>)
