1PL (-ām)	суффикс 1 лица мн.ч.
1PL (=ām)	клитика 1 лица мн.ч.
1SG (-um)	суффикс 1 лица ед.ч.
1SG (=um)	клитика 1 лица ед.ч.
2PL (-et)	суффикс 2 лица мн.ч.
2PL (=et)	клитика 2 лица мн.ч.
2SG (-i)	суффикс 2 лица ед.ч.
2SG (=at)	клитика 2 лица ед.ч.
3PL (-en)	суффикс 3 лица мн.ч.
3PL (=en)	клитика 3 лица мн.ч.
3SG (-t/-d)	суффикс 3 лица ед.ч.
3SG (=i)	клитика 3 лица ед.ч.
Adjectival Participle	Результативное причастие (-<i>īn</i>)
Agentive participle	Агентивное причастие (-<i>īǰ</i>)
Agreement clitics	Согласовательные клитики
Agreement suffixes	Согласовательные суффиксы
Conjunctions	Союзы
D1.F.SG.O	1 серия, ед.ч. ж.р., косв. (<i>mam</i>)
D1.LOC	1 серия, локатив
D1.M.SG.O	1 серия, ед.ч. м.р., косв. (<i>mi</i>)
D1.PL	1 серия, мн.ч., прям. (<i>māδ</i>)
D1.PL.O	1 серия, мн.ч., косв. (<i>mev</i>)
D1.SG	1 серия, ед.ч., прям. (<i>yam</i>)
D2.F.SG.O	2 серия, ед.ч. ж.р., косв. (<i>dam</i>)
D2.LOC	2 серия, локатив
D2.M.SG.O	2 серия, ед.ч. м.р., косв. (<i>di</i>)
D2.PL	2 серия, мн.ч., прям. (<i>dāδ</i>)
D2.PL.O	2 серия, мн.ч., косв. (<i>dev</i>)
D2.SG	2 серия, ед.ч., прям. (<i>yid</i>)
D3.F.SG	3 серия, ед.ч. ж.р., прям. (<i>yā</i>)
D3.F.SG.O	3 серия, ед.ч. ж.р., косв. (<i>wam</i>)
D3.LOC	3 серия, локатив
D3.M.SG	3 серия, ед.ч. м.р., прям. (<i>yu</i>)
D3.M.SG.O	3 серия, ед.ч. м.р., косв. (<i>wi</i>)
D3.PL	3 серия, мн.ч., прям. (<i>wāδ</i>)
D3.PL.O	3 серия, мн.ч., косв. (<i>wev</i>)
Demonstratives	Демонстративы
English	английский
Imperative	Императив
Locative demonstratives	Локативные демонстративы
Long Infinitive (Purposive)	Полный Инфинитив(-<i>ow</i>)
Nominal affixes	Именные аффиксы
Nominalizations	Номинализации
Other particles	Другие частицы
Other pronominals	Другие местоимения
PRON.1PL	‘мы’ (<i>māš</i>)
PRON.1SG	‘я’, прям. (<i>wuz</i>)
PRON.1SG.O	‘я’, косв. (<i>mu</i>)
PRON.2PL	‘вы’ (<i>tama</i>)
PRON.2SG	‘ты’ (<i>tu</i>)
Parts of speech	Части речи
Perfect	Перфект
Personal pronouns	Личные местоимения (1/2 лицо)
Pluperfect	Плюсквамперфект
Postpositions	Послелоги
Prepositions	Предлоги
Present	Презенс
Preterite	Претерит
